iShares Russell 3000 ETF
Fund Holdings as of,"Jul 24, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","1,310,992,874.32","6.75","1,310,992,874.32","6,338,198.00","206.84","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","1,308,208,460.36","6.73","1,308,208,460.36","3,928,318.00","333.02","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","770,501,528.50","3.97","770,501,528.50","2,018,605.00","381.70","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","611,778,826.08","3.15","611,778,826.08","2,635,728.00","232.11","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","506,204,694.24","2.61","506,204,694.24","1,583,176.00","319.74","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","482,745,734.24","2.48","482,745,734.24","1,263,997.00","381.92","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","412,225,351.02","2.12","412,225,351.02","1,291,878.00","319.09","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","355,471,870.79","1.83","355,471,870.79","597,241.00","595.19","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","282,066,724.10","1.45","282,066,724.10","306,278.00","920.95","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","259,470,336.29","1.34","259,470,336.29","216,943.00","1,196.03","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","256,624,725.50","1.32","256,624,725.50","726,550.00","353.21","United States","NYSE","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","250,449,922.83","1.29","250,449,922.83","506,031.00","494.93","United States","NYSE","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","248,457,858.57","1.28","248,457,858.57","793,719.00","313.03","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","230,710,251.20","1.19","230,710,251.20","442,016.00","521.95","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXONMOBIL HOLDINGS CORP","Energy","Equity","177,334,196.06","0.91","177,334,196.06","1,129,949.00","156.94","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","172,537,536.00","0.89","172,537,536.00","655,040.00","263.40","United States","NYSE","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","159,483,578.10","0.82","159,483,578.10","448,315.00","355.74","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","130,465,141.83","0.67","130,465,141.83","1,191,789.00","109.47","United States","NASDAQ","USD","1.00","USD","-"
